model,fold_id,macro_f1,balanced_accuracy,brier_score,ece
model_selector_fallback_static,0,0.06153846153846154,0.0547945205479452,1.0563092581133378,0.3432619659833505
model_selector_fallback_static,1,0.0,0.0,1.0917497996572374,0.41908967159163785
model_selector_fallback_static,2,0.0,0.0,0.9949448440454807,0.4006687279598254
model_selector_fallback_static,3,0.17922088310580206,0.2281084656084656,0.7246092109738995,0.20434880130727529
model_selector_fallback_static,4,0.22966559982341905,0.22982804232804233,0.620211165865432,0.08805424128899553
model_selector_fallback_static,5,0.4356656346749226,0.4509637188208616,0.5447903484685719,0.1052985472578398
model_selector_fallback_static,6,0.5288481196434318,0.5364854220596734,0.557111311707044,0.09057209805143834
model_selector_fallback_static,7,0.48452227364077294,0.4842391958589142,0.5828230892475847,0.12325359006442935
model_selector_fallback_static,8,0.547010639299501,0.5321272929968582,0.5555771816400505,0.11102947158992572
model_selector_fallback_static,9,0.46893887180465765,0.5064817751574967,0.6690369584127884,0.2222715141907544
model_selector_fallback_static,10,0.4369236427338698,0.4967800599058622,0.7005977317900612,0.2532843110706885
model_selector_fallback_static,11,0.39365056702292567,0.403001341381623,0.7386370559088907,0.25015748050850883
model_selector_fallback_static,12,0.45560528782040577,0.4721641247515751,0.6729932631006447,0.26053563138129004
model_selector_fallback_static,13,0.3398437740152591,0.44852917617846133,0.7398316322415519,0.2684843165214073
model_selector_fallback_static,14,0.40306787277671935,0.40551093643198904,0.6845198126024544,0.1811505077590405
model_selector_fallback_static,15,0.2545056687498548,0.31206140350877193,0.7029074765897918,0.2043162939694006
model_selector_fallback_static,16,0.33160875269309004,0.3953135051925375,0.6790286107541292,0.16490233909915872
model_selector_fallback_static,17,0.4413725658566372,0.5047114976594558,0.5675699214693938,0.10795576499661368
model_selector_fallback_static,18,0.5158441868231477,0.525280315614618,0.5697403812867649,0.15655355806082066
model_selector_fallback_static,19,0.5347136470087289,0.59883658008658,0.5359446804847207,0.09848854071657423
model_selector_fallback_static,20,0.4656290352911678,0.5637596899224806,0.6479318292378565,0.17343950803291072
model_selector_fallback_static,21,0.5262503055337437,0.646769302126445,0.5579372078148006,0.1477100300676946
model_selector_fallback_static,22,0.5076969136798968,0.5461017740429505,0.6748453668391098,0.18657111561914008
model_selector_fallback_static,23,0.41290056427941013,0.43778957950869835,0.7636333745762607,0.3018053583975689
model_selector_fallback_static,24,0.42181257163008024,0.4670434687636522,0.6372991115734136,0.16621533078207096
model_selector_fallback_static,25,0.41724192277383765,0.45730866861698505,0.6859340041827222,0.24502592873125567
model_selector_fallback_static,26,0.5462291293197532,0.5907735253031634,0.561247510614175,0.10111345889422817
model_selector_fallback_static,27,0.5395273760125403,0.5567762529971833,0.4966507161276381,0.0312948313677255
model_selector_fallback_static,28,0.5395140522526376,0.547857543690877,0.5037289686573223,0.07027425452577116
model_selector_fallback_static,29,0.45388318035397013,0.45705273069679847,0.5576885668887864,0.09571060412366626
model_selector_fallback_static,30,0.5033038760322767,0.4999087414121976,0.6029938480016211,0.11417528021503505
model_selector_fallback_static,31,0.44656488299787267,0.46103831645820925,0.5886061478629243,0.10675153276170367
model_selector_fallback_static,32,0.5416813465569041,0.5416347297475882,0.5378180815664443,0.09920025081701682
model_selector_fallback_static,33,0.4258135277454541,0.4317708333333333,0.5843174655677182,0.16268516398371666
model_selector_fallback_static,34,0.3984312148028962,0.43145042659605765,0.6190377586869893,0.13888381890287982
model_selector_fallback_static,35,0.20656583736053935,0.2345949855351977,0.6055552325604793,0.1801501087179766
model_selector_fallback_static,36,0.20662681912681913,0.23285013380909902,0.6188404780071413,0.21518808631270148
model_selector_fallback_static,37,0.21499974035415695,0.24670703677510608,0.5840008861153811,0.1754502663869813
model_selector_fallback_static,38,0.4068800552669655,0.5139083411142235,0.64909004999751,0.22831181097478376
model_selector_fallback_static,39,0.38954386419052073,0.4863306593809167,0.6440931782967573,0.2373041050255019
model_selector_fallback_static,40,0.432837693707259,0.5098958333333333,0.59583335060754,0.1660006580778131
model_selector_fallback_static,41,0.4068503584229391,0.5108212793314048,0.5947150585574247,0.20298095921955195
model_selector_fallback_static,42,0.3728609086717537,0.5011834526502343,0.6363321054283304,0.22121675039680913
model_selector_fallback_static,43,0.40179233299079137,0.5073289999760588,0.582579133236452,0.16674566170978994
model_selector_fallback_static,44,0.3907455250900538,0.4877248151826106,0.6226393627471142,0.20078106147582545
model_selector_fallback_static,45,0.3701183199467793,0.46529766713177156,0.6761848033970755,0.24177942743323783
model_selector_fallback_static,46,0.41394120189714795,0.4900080356669399,0.6129570531317196,0.167552220009862
model_selector_fallback_static,47,0.3504037499150835,0.5259146341463414,0.6664387725520292,0.22928360356411462
model_selector_fallback_static,48,0.4312832036452072,0.4642127994814947,0.5717576999527831,0.12896458839586644
model_selector_fallback_static,49,0.4938267669684219,0.486552975814751,0.565860182405063,0.13228183704922458
model_selector_fallback_static,50,0.47357223599630377,0.4695101420197709,0.5619357854925638,0.13618963467123366
model_selector_fallback_static,51,0.41593764597840366,0.4206889551608369,0.5635988556369528,0.11228786877623187
model_selector_fallback_static,52,0.37269257460097155,0.3724925070388423,0.6046336501117775,0.16616602193021998
model_selector_fallback_static,53,0.39444985394352483,0.4039186507936508,0.6072452059778379,0.1689245517544903
model_selector_fallback_static,54,0.44960531960531963,0.4724753823591033,0.5828501213533351,0.1632938133159154
model_selector_fallback_static,55,0.5027819027819028,0.49191653686396675,0.5556070536167583,0.1045800104667323
model_selector_fallback_static,56,0.222909115168227,0.22777255639097743,0.5516188546275739,0.14079605749515303
model_selector_fallback_static,57,0.23167874823196605,0.23401084010840106,0.5711917545874525,0.1457048016534725
model_selector_fallback_static,58,0.3257475458781308,0.4193377350940376,0.5466233723117282,0.1482914260855303
model_selector_fallback_static,59,0.5009990428453389,0.5244168173598552,0.5426558102396596,0.1271055949405885
model_selector_fallback_static,60,0.47009176715105605,0.4703342197733628,0.544385058268011,0.0697026505996364
model_selector_fallback_static,61,0.3622172524923948,0.3889312330623306,0.626538749945763,0.17840460922236734
model_selector_fallback_static,62,0.30902081927210423,0.3167486583184258,0.6466881278523766,0.11730236990351073
model_selector_fallback_static,63,0.3715018437189704,0.427584670231729,0.6280820465447153,0.14248031867501879
model_selector_fallback_static,64,0.5407727312649584,0.5827643962889865,0.5973827620511585,0.12046583969268443
model_selector_fallback_static,65,0.5955757273400017,0.6053229557327917,0.5284314943488283,0.1488717921742811
model_selector_fallback_static,66,0.5786657358663294,0.6203686584240402,0.5368239465684796,0.12239348342720893
model_selector_fallback_static,67,0.5797319031299614,0.6221704527275635,0.5230771253962586,0.09396729810696813
model_selector_fallback_static,68,0.5368659575564034,0.5603053830227743,0.5458420433860076,0.1003658632997056
model_selector_fallback_static,69,0.41271493837983203,0.4781793763614431,0.595901534517585,0.1935557627901785
model_selector_fallback_static,70,0.44636784532368234,0.4645304973694805,0.6156048309335448,0.19763693115520925
