fold_id,model,fold_start,fold_end,run_id,macro_f1,balanced_accuracy,brier_score,ece,switch_frequency,mean_entropy,val_start,test_start,test_end
20,scalar_damped_lagrangian,20,40,20260613_211316,0.33503756793230477,0.44375,0.6550874025770476,0.019588248270778028,0.16037735849056603,1.0780524015426636,2011-11-01,2012-11-02,2013-11-01
21,scalar_damped_lagrangian,20,40,20260613_211316,0.25856119836780594,0.272559583273869,0.7196394752002174,0.26648248837027755,0.16981132075471697,0.8990399241447449,2012-02-02,2013-02-05,2014-02-04
22,scalar_damped_lagrangian,20,40,20260613_211316,0.34288364340428273,0.3391036083464118,0.6359491855744399,0.1094212702742205,0.17452830188679244,0.9315782785415649,2012-05-03,2013-05-07,2014-05-06
23,scalar_damped_lagrangian,20,40,20260613_211316,0.30072715828529784,0.4214708056171471,0.6347164538621963,0.043620318174362176,0.07547169811320754,1.102305293083191,2012-08-02,2013-08-06,2014-08-05
24,scalar_damped_lagrangian,20,40,20260613_211316,0.46568503855012505,0.4702653997378768,0.5855806581445356,0.06540554985753805,0.2028301886792453,0.9021027088165283,2012-11-02,2013-11-04,2014-11-03
25,scalar_damped_lagrangian,20,40,20260613_211316,0.4495955959295423,0.4546107420346771,0.5897868197978752,0.07026202745840582,0.20754716981132076,0.9520120620727539,2013-02-05,2014-02-05,2015-02-04
26,scalar_damped_lagrangian,20,40,20260613_211316,0.4055583031501981,0.42908009545970727,0.6393973275858638,0.1200369187923664,0.13679245283018868,0.804949164390564,2013-05-07,2014-05-07,2015-05-06
27,scalar_damped_lagrangian,20,40,20260613_211316,0.3764658905064388,0.3924709593314245,0.6288259847416237,0.09955347577730814,0.22169811320754718,1.0378340482711792,2013-08-06,2014-08-06,2015-08-05
28,scalar_damped_lagrangian,20,40,20260613_211316,0.42827172654418966,0.4434994789161456,0.6187283336439501,0.06641477500328996,0.20754716981132076,0.9630734324455261,2013-11-04,2014-11-04,2015-11-03
29,scalar_damped_lagrangian,20,40,20260613_211316,0.4144101385643738,0.4473885750156937,0.6434189898937585,0.1313443726776911,0.17452830188679244,0.9113556742668152,2014-02-05,2015-02-05,2016-02-04
30,scalar_damped_lagrangian,20,40,20260613_211316,0.40025163831660193,0.413324386826691,0.6440877568048684,0.05048452618536257,0.12264150943396226,0.9948723316192627,2014-05-07,2015-05-07,2016-05-05
31,scalar_damped_lagrangian,20,40,20260613_211316,0.3825200534759358,0.43592105916219975,0.6721224294665166,0.09245320287108981,0.09433962264150944,0.9506221413612366,2014-08-06,2015-08-06,2016-08-04
32,scalar_damped_lagrangian,20,40,20260613_211316,0.4093014648589684,0.4851625479053786,0.6040240695043635,0.0887946478078063,0.10377358490566038,1.0522081851959229,2014-11-04,2015-11-04,2016-11-02
33,scalar_damped_lagrangian,20,40,20260613_211316,0.2928764071294559,0.41813446969696966,0.6178018245204295,0.0782530712129924,0.08018867924528301,1.04816734790802,2015-02-05,2016-02-05,2017-02-03
34,scalar_damped_lagrangian,20,40,20260613_211316,0.337008226679762,0.4720873786407767,0.5783320673036065,0.06642212624281225,0.19811320754716982,1.0287357568740845,2015-05-07,2016-05-06,2017-05-05
35,scalar_damped_lagrangian,20,40,20260613_211316,0.29842033846232624,0.3040260366441659,0.46877356358440275,0.052563260698542315,0.11320754716981132,0.7905164361000061,2015-08-06,2016-08-05,2017-08-04
36,scalar_damped_lagrangian,20,40,20260613_211316,0.23232549458753265,0.24754683318465656,0.4993802236661383,0.07831691758173732,0.1179245283018868,0.7675192356109619,2015-11-04,2016-11-03,2017-11-02
37,scalar_damped_lagrangian,20,40,20260613_211316,0.22236133897475752,0.2725203323903819,0.5047493346716517,0.11425101239356636,0.04716981132075472,0.7312839031219482,2016-02-05,2017-02-06,2018-02-05
38,scalar_damped_lagrangian,20,40,20260613_211316,0.3067033710035738,0.47710473078120136,0.5935253274606218,0.18455167555473218,0.0330188679245283,0.8122485280036926,2016-05-06,2017-05-08,2018-05-07
39,scalar_damped_lagrangian,20,40,20260613_211316,0.366108678412578,0.5059367906408241,0.5938813938349613,0.17943708283800475,0.06132075471698113,0.7456855773925781,2016-08-05,2017-08-07,2018-08-06
40,scalar_damped_lagrangian,20,40,20260613_211316,0.40921460741444954,0.5011780753968254,0.5733074056824179,0.16878532341948138,0.1320754716981132,0.6868708729743958,2016-11-03,2017-11-03,2018-11-02
