fold_id,model,lag_model,fold_start,fold_end,run_id,macro_f1,balanced_accuracy,brier_score,ece,stacker_fitted
20,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.4410233344357801,0.5337370801033592,0.597699393555387,0.0480805022615782,False
21,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.4436867277968607,0.5517794705294705,0.5855895420588189,0.043882654026640426,False
22,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.4848681264517044,0.5283356841554588,0.6469665903856162,0.11509768867716542,False
23,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.41609239559608635,0.4543447853833377,0.6748431994028504,0.17680865889983557,False
24,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.41907467532467535,0.4557462319790302,0.5735368896486391,0.08455076981598227,False
25,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.41303219106957423,0.5168356997971603,0.5978951293424251,0.21106304864928194,True
26,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.4426407409335545,0.5064871481028153,0.5299586363914166,0.18746316754761996,True
27,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.3674192485168095,0.46866925064599485,0.5100447179889944,0.09031286052135233,True
28,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.39054005074302284,0.4717372134038801,0.47000514378994407,0.05832511340508435,True
29,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.36667668469912507,0.47333333333333333,0.5863307516954384,0.16274680260201574,True
30,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.37421679197994984,0.48148874934589225,0.5730894477786638,0.1311529919575078,True
31,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.3412202784996703,0.47282608695652173,0.5534032359306277,0.12292127458142563,True
32,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.3837240389817087,0.5127329192546584,0.5586020894570854,0.12112279537138243,True
33,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.34105703861196424,0.5067708333333334,0.5424289455425334,0.11076507895765172,True
34,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.30219298245614035,0.49514563106796117,0.5731170221809859,0.16937481923282427,True
35,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.18445121951219512,0.24795081967213115,0.5106254031465276,0.10565261717693344,True
36,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.1782477341389728,0.25,0.5278679883844785,0.12281016256887584,True
37,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.1712962962962963,0.24776785714285715,0.5213223674853577,0.12704159368371742,True
38,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.30137614678899083,0.49264705882352944,0.5857078788514752,0.20307276758229792,True
39,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.30202137312229055,0.49275362318840576,0.5919969838629102,0.20054829050677483,True
40,stacker_logreg_xgb_lagrangian_v6,lagrangian_v6,20,40,20260613_210347,0.3368056633249532,0.49739583333333337,0.5512301322896133,0.14746231288417405,True
